id,creationdate,score,viewcount,title,answercount,tags,quest_name
48071456,1/3/2018 5:03,-1,205,"Python Pandas Join, Merge and Concat",1,"python, pandas, data-science",dharmendra mishra
48071662,1/3/2018 5:28,0,366,Select multiple columns with an interval in pandas dataframe,2,"python, pandas",mandar
48071970,1/3/2018 5:59,1,157,Is it possible to split a Pandas dataframe using groupby and merge each group with separate dataframes,1,"python, python-3.x, pandas, pandas-groupby",user1718097
48072484,1/3/2018 6:44,0,25,Customize reading pandas data frame of type pandas.core.series.Series,0,"python, pandas, series",ramkrishna
48072537,1/3/2018 6:49,2,49,Pandas Dataframe groupby year and find top item,2,"python, pandas, dataframe, pandas-groupby",el323
48073021,1/3/2018 7:31,0,30,Simulating online desicion making in Python,1,"python, pandas",Roy
48073661,1/3/2018 8:23,1,298,Aggregate dataframe based on 2 categorical columns and value of 1 python,1,"python, pandas, group-by",PeCaDe
48073718,1/3/2018 8:28,1,516,Word Replacement in text corpus using word2vec similarity dictionary in a pandas dataframe,1,"python, pandas, string-matching, word2vec, gensim",Shany Eapen
48074166,1/3/2018 9:02,1,283,Python Pandas SUMPRODUCT and L Matrix caluclation,1,"python, excel, pandas, numpy-einsum",Marx Babu
48074180,1/3/2018 9:03,1,135,replace a pandas series with the closest values from another series,1,"python, pandas",ihadanny
48074845,1/3/2018 9:46,0,51,Add indicator to inform where the data came from Python,1,"python, pandas, concatenation, indicator",Charlie0210
48075312,1/3/2018 10:13,1,282,Pandas multiple dataframes into single,1,"python, pandas, web-scraping, concatenation",Chris
48076385,1/3/2018 11:23,1,15,Filter out according to specific multiple conditions in pandas,1,pandas,Bella
48076607,1/3/2018 11:36,1,42,Fast way to replace value in sparse dataframe with value from dictionary,1,"python, pandas",famargar
48077878,1/3/2018 12:56,0,225,Pandas dataframe groupby top N items,2,"python, pandas, group-by, pandas-groupby",el323
48078134,1/3/2018 13:14,0,47,How to prevent output command from printing in Jupyter notebook?,0,"pandas, jupyter-notebook",Alex Trevylan
48078558,1/3/2018 13:38,0,225,Python pandas DataFrame memory error,0,"python, pandas, out-of-memory",Kornel
48078589,1/3/2018 13:40,0,49,what is the most efficient way to search for a string in a pandas column?,0,"python, string, list, pandas, append",Muhammed Eltabakh
48079043,1/3/2018 14:09,2,34,find new exporting destinies: Data science - groupby and isin,3,"python, pandas, group-by",Lucas Dresl
48079362,1/3/2018 14:29,1,179,How to find row which has the minimum overall distance from the other rows of the pandas dataframe,1,"python, pandas, distance",user3806649
48080567,1/3/2018 15:41,0,28,Map dataframe column value by another column's value,2,"python, performance, pandas",Breton
48081800,1/3/2018 16:57,0,645,Pandas automatically converting field type on read_csv,1,"python, pandas",Growler
48081837,1/3/2018 16:59,1,550,pandas resample apply np.average,2,"python, pandas, resampling, pandas-apply",dreab
48081901,1/3/2018 17:03,1,207,Can somebody explain Pandas bin precision?,1,"python, python-2.7, pandas, floating-point",komodovaran_
48081927,1/3/2018 17:05,1,46,Adding a new column based on values of another column in Pandas(python),3,"python, pandas",Dawn17
48082018,1/3/2018 17:11,2,58,How to create dataframe of top 5 close words to a particular word lists from a dictionary in pandas,1,"python, string, pandas, word2vec, gensim",pankaj
48082257,1/3/2018 17:28,0,46,Pandas - Creating a Dataframe from a list of Dataframes based on some conditions,2,"python, pandas, dataframe",NixMan
48082403,1/3/2018 17:38,1,159,Pandas - Groupby + Shift not working as expected,2,"python, pandas, group-by",Walt Reed
48082515,1/3/2018 17:46,2,69,combine rows into single cell,3,"python, pandas, group-by",Kvothe
48082523,1/3/2018 17:46,2,712,"Pandas: Split large file into seperate files by Date, preserving original ordering.",2,"python, pandas, pandas-groupby",Jasper
48083074,1/3/2018 18:24,1,114,Conditional Concatenation Based on String Value in Column,1,"python, string, pandas",PineNuts0
48083093,1/3/2018 18:25,1,53,"Pandas: per individual, find number of records that are near the current observation. Apply vs transform",2,"python, pandas, apply, pandas-groupby",cd98
48083226,1/3/2018 18:34,0,54,Fancy indexing with portion of string in pandas,1,"python, pandas",The Nightman
48083405,1/3/2018 18:48,21,5290,What are the differences between feather and parquet?,1,"python, pandas, parquet, feather, pyarrow",Darkonaut
48083843,1/3/2018 19:21,1,256,Pandas set element style dependent on another dataframe mith multi index,1,"python, pandas, multi-index",Jeff Tilton
48083944,1/3/2018 19:29,2,38,Eliminating duplicated rows by dropping varying columns and aggregating remaining rows,3,"python, pandas, dataframe, group-by, pandas-groupby",ParalysisByAnalysis
48084356,1/3/2018 20:02,2,589,How to use generators in Pandas,2,"python, pandas, generator",Iwan
48084451,1/3/2018 20:09,-1,77,Creating new pandas columns with original value plus random number in error range,2,"python, pandas, numpy",menrva
48084971,1/3/2018 20:53,0,638,Search for specific string in multiple excel files,2,"python, excel, python-3.x, pandas",Rasmus Bidstrup
48085579,1/3/2018 21:46,0,133,pandas dataframe apply function over column creating multiple columns,2,"python, pandas, apply",Joseph Noirre
48085956,1/3/2018 22:15,0,43,How to assign a number to a value falling in a certain bin,1,"python, pandas",Patthebug
48086457,1/3/2018 23:10,1,43,Combine rows in a DataFrame & add the value as a column,4,"python, pandas, dataframe, pandas-groupby",rishabh
48087534,1/4/2018 1:34,2,2022,Checking a Pandas Dataframe for Outliers,1,"python, pandas",Adi
48087693,1/4/2018 2:02,0,38,consolidating duplicate index values into single row (single index) pandas,1,"python, pandas",thomas.mac
48087700,1/4/2018 2:02,0,121,Counter Column in Pandas DataFrame where it changes based on other column,1,"python, pandas, calculated-columns",Harold Chaw
48087707,1/4/2018 2:03,1,75,Shifting a date time index,1,"python, pandas",Saeed
48088128,1/4/2018 3:08,0,1048,Matplotlib bar chart show x-ticks only at non-zero bars,2,"python, pandas, matplotlib, plot, figure",XyledMonkey
48088265,1/4/2018 3:29,0,87,"Create a ""directional"" pandas pct_change function",1,"python, pandas, math, percentage",cwse
48088686,1/4/2018 4:29,2,727,"Remove duplicates from rows and columns (cell) in a dataframe, python",4,"python, pandas, dataframe",PAstudilloE
48088750,1/4/2018 4:37,1,137,Sometimes Getting empty DataFrame while using SQL query through pandas.read_sql_query,0,"python, sql, sqlite, pandas",aditass
48088917,1/4/2018 4:59,0,28,break up dateframe into smaller pieces by date,0,"python, pandas, datetime, chunking",user3757265
48088965,1/4/2018 5:05,1,106,subsetting pandas dataframe,2,"python, pandas, subset",Niccola Tartaglia
48089141,1/4/2018 5:24,0,40,How to write words having similarity above .6 to a specific word from a dictionary to a dataframe in pandas,1,"python, string, pandas, word2vec, gensim",Rahul rajan
48089786,1/4/2018 6:25,2,426,How to query a numerical column name in pandas?,1,"python, pandas, pandas-query",Dark
48090128,1/4/2018 6:53,3,208,Fill nulls until certain column value in Pandas,2,"python, pandas",Iyad Al aqel
48090227,1/4/2018 7:01,2,906,Rolling Gradient for Pandas Dataframe column,2,"python, pandas, gradient, rolling",cwse
48090657,1/4/2018 7:34,-1,153,How to pick the rows which contains all the keywords?,2,"python, pandas",Prabu
48090691,1/4/2018 7:36,1,150,Pandas plot table is not plotting all the columns,0,"python, pandas, matplotlib, plot",Nitesh kumar
48090732,1/4/2018 7:39,1,132,"Pandas, Postgres, and Daylight Savings Time (DST)",0,"python, postgresql, pandas, python-3.6",davidrpugh
48092427,1/4/2018 9:39,0,2131,forward fill (ffill) based on group and previous row pandas,2,"python, pandas",A H
48093234,1/4/2018 10:24,2,53,"How does a double ""for"" work in list comprehension?",1,"python, python-3.x, pandas",Archan Joshi
48093269,1/4/2018 10:27,0,728,Python ValueError: Can only compare identically-labeled Series objects,1,"python, pandas",Python Learner
48093437,1/4/2018 10:37,1,687,"How to read a CSV file with multiple headers into two DataFrames in pandas, one with the headers and one with the data with some headers removed?",1,"python, pandas, csv, dataframe",Krzysztof Słowiński
48093693,1/4/2018 10:53,0,135,Python (pandas._libs.tslib.Timestamp) - Returning Values,0,"python, pandas, timestamp",RiskTech
48094160,1/4/2018 11:21,1,47,"Python Multi-Index: Finding cordinates with level 2 index, DataFrame",1,"python, pandas, dataframe, indexing, multi-index",Kang
48094572,1/4/2018 11:44,3,337,Find the column index which has the maximum value for each row,3,"pandas, argmax",msksantosh
48094854,1/4/2018 12:01,3,16658,Python convert object to float,2,"python, pandas",Almog Woldenberg
48097742,1/4/2018 14:48,4,2543,geopandas point in polygon,2,"python, pandas, geopandas, point-in-polygon",Kvothe
48097849,1/4/2018 14:54,2,74,pandas dataframe search column of by list,1,"python, pandas",Steffen Kaminski
48098128,1/4/2018 15:09,2,156,Counting cumulative occurrences of values based on date window in Pandas,3,"python, pandas",dimitris_ps
48098331,1/4/2018 15:21,1,211,Bar plot with date range cuts bars in plotly,1,"python, pandas, plotly",user32185
48098415,1/4/2018 15:26,0,44,Call a function on an object and assign the return to the same object at the same time,2,"python, pandas",salhin
48098753,1/4/2018 15:44,0,74,Python matplotlib 2 y axis components,3,"python-3.x, pandas, matplotlib, data-science",HenryHub
48099555,1/4/2018 16:30,1,55,Sorting all the values in a pandas matrix,3,"python, pandas, sorting",Mike
48099843,1/4/2018 16:45,1,264,Compare timestamps in subsequent records with pandas,1,"python, database, pandas, dataframe, pandas-groupby",Sharonio
48100356,1/4/2018 17:16,0,69,Appending row values of a CSV file if duplicate,2,"python, pandas, dataframe",Macterror
48100608,1/4/2018 17:33,-2,39,"Pandas not plotting the kind ""line""",1,"python, pandas, matplotlib",wazo
48100919,1/4/2018 17:53,0,345,Python Pandas: Ploting GPS track as it evolves in time,1,"python, pandas, gps, time-series",dokondr
48101301,1/4/2018 18:19,0,306,Python: Pandas data-frame inside a function,1,"function, pandas",Ashok
48101314,1/4/2018 18:20,0,298,Loop through grouped data - Python/Pandas,1,"python, pandas, pandas-groupby",natnay
48101560,1/4/2018 18:37,1,81,Expand list column into values and days with Pandas,2,"python, pandas",jnard0ne
48101897,1/4/2018 19:03,2,166,Boolean Logic Comparing Data From Two Pandas Dataframes,2,"python, python-3.x, pandas, numpy, scikit-learn",HMLDude
48102138,1/4/2018 19:21,1,73,How would I insert missing rows into this data set?,1,"python, pandas, numpy",Michael Melillo
48102713,1/4/2018 20:01,0,435,Fuzzy Match List with Column in a data frame,1,"python, string, pandas, match, fuzzywuzzy",EEPBAH
48103154,1/4/2018 20:34,0,57,Dataframe Comparison,3,"python-3.x, pandas, numpy",Tyler Russell
48103323,1/4/2018 20:46,0,311,Cannot do AND operation on 2 columns of pandas dataframe,1,"python, pandas, dataframe",Sachin Myneni
48103536,1/4/2018 21:02,4,248,Stripping proper nouns from text,2,"python, python-3.x, pandas, spacy",LMGagne
48103749,1/4/2018 21:21,0,77,"Pandas convert to percent, groupby, and transform",1,"python, pandas, dataframe",DH_III
48103801,1/4/2018 21:24,0,318,Matplotlib put x ticks above bar,2,"python, pandas, matplotlib, plot, figure",XyledMonkey
48103845,1/4/2018 21:28,4,2439,Python Pandas Sum Values in Columns If date between 2 dates,2,"python, pandas, dataframe, pandas-groupby, melt",clg4
48103892,1/4/2018 21:32,2,74,Python DataFrame Replace '+',2,"python, pandas, dataframe, replace",MethJordan
48104291,1/4/2018 22:07,1,446,Large data with pivot table using Pandas,1,"python, pandas, dataframe, bigdata, pivot-table",Dat Nguyen
48104933,1/4/2018 23:11,1,48,counting number of new values per month in pandas dataframe,1,"python-2.7, pandas",Hirotaka Nakagame
48105458,1/5/2018 0:15,0,22,Appending Rows From an Same Dataframe,0,"python-3.x, pandas, spyder",Christopher Ell
48105485,1/5/2018 0:18,0,49,How can I concat Dataframe?,1,"python-3.x, pandas",Stef Reyes
48105937,1/5/2018 1:24,1,170,Unable to fillna a column in dataframe with values from a series,1,"python, pandas, dataframe",Sachin Myneni
48106341,1/5/2018 2:19,1,30,Clearing certain data from column dataframe,3,"python, pandas",Adam
48106822,1/5/2018 3:27,0,63,Concat files using pandas python,1,"python, excel, pandas, concat",brianvu1892
48107089,1/5/2018 4:10,0,240,Feature Union with Pandas: Properly Selecting Columns?,0,"pandas, machine-learning, scikit-learn",thewhitetie
48107528,1/5/2018 5:11,2,551,Insert pandas dataframe into mongodb,1,"python, pandas, dataframe, pymongo",TB.M
48107796,1/5/2018 5:40,0,622,PANDAS: Wrong column names while importing data from csv file,1,"python, pandas, csv, import-from-csv",aditass
48107922,1/5/2018 5:52,0,498,How to replace a string using a dictionary containing multiple values for a key in python,1,"python, regex, pandas, dictionary",Rahul rajan
48107991,1/5/2018 5:58,0,88,Create a source target pandas dataframe from strings of flows,2,"python, pandas",user3139545
48109011,1/5/2018 7:25,1,641,How to get the percentage of each value in a row basis row total in python,2,"python, pandas",Shuvayan Das
48109266,1/5/2018 7:45,1,51,Conditionally filling values in Pandas Dataframe,1,"python, pandas, dataframe",RiskTech
48109418,1/5/2018 7:57,2,835,Sankey diagram in Plotly not showing any graph,1,"python, pandas, plotly",user3139545
48109520,1/5/2018 8:07,2,134,Add a flag indicating that a column has changed for each group in pandas,1,"python, pandas",Keiku
48109624,1/5/2018 8:15,2,134,Python pandas - how to group close elements,1,"python, algorithm, pandas, group-by",Binyamin Even
48109936,1/5/2018 8:37,2,399,Convert column of a pandas dataframe from string to list type,0,"python, pandas",Nayana Madhu
48110421,1/5/2018 9:14,3,574,Slice a Pandas dataframe with DatetimeIndex based on time interval,1,"pandas, datetime, dataframe, slice",Swedish Mike
48111231,1/5/2018 10:04,0,34,Python 2.7 Subset a groupby dataframe based on another groupby,1,"python, pandas",doyz
48111324,1/5/2018 10:10,1,241,Pandas: apply operation with generated list is not callable,2,"python, pandas",Jasper
48111404,1/5/2018 10:14,2,27,Pandas groupby column1 apply max on column2 and corresponding value of column3 in result,0,"python, pandas, dataframe, pandas-groupby",el323
48111638,1/5/2018 10:27,1,295,python deprecated pd.convert_objects(convert_numeric=True) works the alternative one malfunctions,1,"python, pandas, dataframe",Marx Babu
48111656,1/5/2018 10:28,0,18,how to make R datafile to Python type,1,"pandas, dataframe, rpy2",김경환
48111657,1/5/2018 10:28,2,30,Slicing a dataframe on column names or alternative column name if they are not available,1,"python, pandas, dataframe, slice",ThatQuantDude
48111790,1/5/2018 10:36,1,185,"Read "".db"" dictionary type file into pandas DataFrame",2,"python, pandas, dataframe, import",WBM
48112468,1/5/2018 11:15,0,48,How to replace text corpus using a matching word from dictionary using Regex,0,"python, regex, pandas",Snehal pankaj
48113872,1/5/2018 12:42,-2,67,numpy.where does not work properly with pandas dataframe,1,"python, pandas, numpy, jupyter-notebook",Jyotirmay
48114054,1/5/2018 12:52,0,1868,How to remove outliers correctly and define predictors for linear model?,2,"python, pandas, numpy, scikit-learn",krakowi
48114587,1/5/2018 13:26,1,67,Downsampling from 1 month to multiple months in Pandas,1,"python, pandas, time-series",Jacques Thibodeau
48115308,1/5/2018 14:10,1,217,Converting pandas dataframe to json is slow,1,"python, json, django, pandas",schmoozed
48115310,1/5/2018 14:10,1,740,calculate average value from pandas dataframe,1,"python, pandas, dataframe",bikuser
48115481,1/5/2018 14:22,3,980,"pandas, combine rows based on certain column values and NAN",4,"python, pandas",Mohammad Athar
48115563,1/5/2018 14:26,2,30,Formatting datetime stamp,1,"python, pandas, dataframe, timestamp",may
48115573,1/5/2018 14:26,-3,407,Can't create a pandas series from numpy array?,2,"python, pandas",Yang 
48115646,1/5/2018 14:30,1,28,Dataframe Joining Columns based on date within a dataframe,2,"python, pandas, dataframe",J Ng
48115731,1/5/2018 14:35,0,40,How to compare names with and without orthographic accent in pandas?,1,"python, pandas, spelling",Reinaldo Chaves
48115885,1/5/2018 14:46,0,39,XLS save a DataFrame according to user request,1,"python, pandas, save, xls, indirect-objects",Fabio Pomi
48115990,1/5/2018 14:52,0,82,Data transformation in Python. Is there a better way?,1,"python, python-3.x, pandas, numpy",durjoy
48116015,1/5/2018 14:54,1,93,"Remove rows from pandas DataFrame if multiple columns contain the same data, but interchanged",1,"python, pandas, dataframe, duplicates",ERS
48116509,1/5/2018 15:22,0,53,Capturing multiple groups in a regex does not return any result,2,"python, regex, pandas, text-mining",Hackerds
